City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kapaa,US,71.6,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
2,Hilo,US,73.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
5,Hirara,JP,68.0,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
7,East London,ZA,72.57,broken clouds,-33.0153,27.9116,Tu Casa
8,Port Lincoln,AU,61.84,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
17,Mataura,NZ,71.89,overcast clouds,-46.1927,168.8643,Ellie's Villa
18,Cape Town,ZA,66.99,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
22,Gulu,UG,71.17,scattered clouds,2.7746,32.299,ACHOLI INN
27,Busselton,AU,64.0,clear sky,-33.65,115.3333,Observatory Guest House
30,Bluff,NZ,58.06,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
35,Itubera,BR,73.99,few clouds,-13.7322,-39.1492,Pousada Baixo Sul.
41,Bredasdorp,ZA,66.2,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
44,Lompoc,US,59.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
57,Tura,IN,58.87,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
59,Esperance,AU,60.8,broken clouds,-33.8667,121.9,Hospitality Esperance
61,Buraydah,SA,64.4,scattered clouds,26.326,43.975,Mövenpick Hotel Qassim
63,Victoria,HK,66.0,broken clouds,22.2855,114.1577,Mini Hotel Central
66,Chipinge,ZW,65.01,few clouds,-20.1883,32.6236,Chipinge Breeze Lodge
67,Castro,BR,66.09,clear sky,-24.7911,-50.0119,CHACARA BAILLY
69,Kahului,US,71.6,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
73,Codrington,AU,59.49,moderate rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
76,Namibe,AO,71.06,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
79,San Patricio,US,73.4,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
82,Mafinga,TZ,64.78,clear sky,-7.25,35.0667,
85,Dickinson,US,70.0,overcast clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
88,Tacna,PE,69.8,clear sky,-18.0056,-70.2483,Hotel Colón Inn
92,Dunedin,NZ,57.0,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
94,Port Alfred,ZA,66.0,scattered clouds,-33.5906,26.891,The Halyards Hotel
105,Chapulhuacan,MX,66.88,clear sky,21.1667,-98.9,Hotel Posada Don Mauro
107,Talcahuano,CL,59.0,overcast clouds,-36.7167,-73.1167,Hotel Terramar
119,Hermanus,ZA,64.99,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
124,Saldanha,ZA,60.8,clear sky,-33.0117,17.9442,Blue Bay Lodge
126,Guerrero Negro,MX,61.93,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
130,Cidreira,BR,69.31,clear sky,-30.1811,-50.2056,Hotel Castelo
131,Sao Filipe,CV,71.6,overcast clouds,14.8961,-24.4956,Tortuga B&B
138,Tomatlan,MX,72.03,clear sky,19.9333,-105.25,Norma franco
144,Port Elizabeth,ZA,66.2,clear sky,-33.918,25.5701,39 On Nile Guest House
145,Pontes E Lacerda,BR,74.39,overcast clouds,-15.2261,-59.3353,Hotel Bressan
147,Lodja,CD,68.56,broken clouds,-3.4833,23.4333,
152,Ilebo,CD,70.75,overcast clouds,-4.3167,20.5833,Hôtel des palmes
