City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rogozno,PL,52.7523,16.9905,30.2,80,0,4.61,clear sky
1,Kapaa,US,22.0752,-159.319,71.6,60,20,14.97,few clouds
2,Hilo,US,19.7297,-155.09,73.4,73,75,17.27,light rain
3,Atuona,PF,-9.8,-139.0333,78.66,71,4,10.16,clear sky
4,Maniitsoq,GL,65.4167,-52.9,12.13,72,100,5.86,overcast clouds
5,Hirara,JP,24.8,125.2833,68.0,64,20,5.75,few clouds
6,La Ronge,CA,55.1001,-105.2842,-0.4,78,100,6.91,overcast clouds
7,East London,ZA,-33.0153,27.9116,72.57,75,84,6.08,broken clouds
8,Port Lincoln,AU,-34.7333,135.8667,61.84,75,100,21.03,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,50.0,76,20,34.52,few clouds
10,Thompson,CA,55.7435,-97.8558,-7.6,71,90,10.36,snow
11,Vaini,TO,-21.2,-175.2,82.4,89,75,9.22,light rain
12,Sangar,RU,63.9242,127.4739,-41.48,79,20,3.67,few clouds
13,Barrow,US,71.2906,-156.7887,-25.6,83,75,9.22,mist
14,Cherskiy,RU,68.75,161.3,-9.0,75,95,10.63,overcast clouds
15,Jacmel,HT,18.2342,-72.5347,75.61,72,27,6.13,scattered clouds
16,Mount Isa,AU,-20.7333,139.5,93.2,43,75,17.27,broken clouds
17,Mataura,NZ,-46.1927,168.8643,71.89,43,98,2.75,overcast clouds
18,Cape Town,ZA,-33.9258,18.4232,66.99,82,0,10.36,clear sky
19,Punta Arenas,CL,-53.15,-70.9167,50.0,57,0,24.16,clear sky
20,Zabaykalsk,RU,49.6333,117.3167,6.94,90,0,17.9,clear sky
21,Charters Towers,AU,-20.1,146.2667,84.02,61,82,11.36,broken clouds
22,Gulu,UG,2.7746,32.299,71.17,35,25,4.45,scattered clouds
23,Tazovskiy,RU,67.4667,78.7,-23.67,87,100,7.7,overcast clouds
24,Ondangwa,NA,-17.9167,15.95,78.22,43,84,4.45,broken clouds
25,Dikson,RU,73.5069,80.5464,-5.24,92,100,14.14,overcast clouds
26,Ponta Do Sol,PT,32.6667,-17.1,51.01,61,89,3.0,overcast clouds
27,Busselton,AU,-33.65,115.3333,64.0,57,4,4.0,clear sky
28,Leczyca,PL,52.0596,19.1997,28.4,69,0,5.75,clear sky
29,Longyearbyen,SJ,78.2186,15.6401,17.6,67,75,13.8,broken clouds
30,Bluff,NZ,-46.6,168.3333,58.06,68,100,10.36,overcast clouds
31,New Norfolk,AU,-42.7826,147.0587,80.01,80,100,3.58,overcast clouds
32,Hobyo,SO,5.3505,48.5268,75.81,81,47,15.5,scattered clouds
33,Luderitz,NA,-26.6481,15.1594,67.14,62,0,19.17,clear sky
34,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,74,40,10.36,mist
35,Itubera,BR,-13.7322,-39.1492,73.99,92,22,2.39,few clouds
36,Aberdeen,GB,57.1437,-2.0981,37.99,93,90,21.85,moderate rain
37,Severo-Kurilsk,RU,50.6789,156.125,12.6,86,71,11.16,broken clouds
38,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.0,93,90,3.44,mist
39,Albany,US,42.6001,-73.9662,32.0,59,20,3.15,few clouds
40,Itarema,BR,-2.9248,-39.9167,78.64,80,100,11.77,overcast clouds
41,Bredasdorp,ZA,-34.5322,20.0403,66.2,82,4,3.44,clear sky
42,Ust-Omchug,RU,61.15,149.6333,-12.73,85,100,7.52,overcast clouds
43,Gizo,SB,-8.103,156.8419,86.0,66,45,7.34,scattered clouds
44,Lompoc,US,34.6391,-120.4579,59.0,63,1,13.8,clear sky
45,Ancud,CL,-41.8697,-73.8203,77.0,38,0,11.5,clear sky
46,Lorengau,PG,-2.0226,147.2712,80.8,80,100,6.96,overcast clouds
47,Solnechnyy,RU,50.7214,136.6319,-13.18,82,71,3.44,broken clouds
48,Mareeba,AU,-17.0,145.4333,89.01,70,75,6.91,broken clouds
49,Geraldton,AU,-28.7667,114.6,75.2,33,100,25.32,overcast clouds
50,Korla,CN,41.7597,86.1469,23.83,81,33,3.71,scattered clouds
51,Zverinogolovskoye,RU,54.4586,64.8542,33.71,98,100,7.65,light rain
52,Jamestown,US,42.097,-79.2353,35.01,44,1,13.8,clear sky
53,Saskylakh,RU,71.9167,114.0833,-39.39,75,54,2.62,broken clouds
54,Bambous Virieux,MU,-20.3428,57.7575,79.0,78,20,6.91,few clouds
55,Bartica,GY,6.4,-58.6167,75.2,88,40,6.91,scattered clouds
56,Krasnoselkup,RU,65.7,82.4667,-23.62,86,36,6.67,scattered clouds
57,Tura,IN,25.5198,90.2201,58.87,59,0,3.2,clear sky
58,Lisakovsk,KZ,52.5369,62.4936,35.55,99,100,10.25,moderate rain
59,Esperance,AU,-33.8667,121.9,60.8,55,75,12.66,broken clouds
60,Cambridge,CA,43.3601,-80.3127,28.99,69,75,9.22,broken clouds
61,Buraydah,SA,26.326,43.975,64.4,45,40,10.36,scattered clouds
62,Rikitea,PF,-23.1203,-134.9692,78.62,69,100,11.74,overcast clouds
63,Victoria,HK,22.2855,114.1577,66.0,77,65,18.41,broken clouds
64,Muncar,ID,-8.4333,114.3333,81.97,78,4,3.06,clear sky
65,Tautira,PF,-17.7333,-149.15,82.4,65,20,2.3,few clouds
66,Chipinge,ZW,-20.1883,32.6236,65.01,96,24,3.15,few clouds
67,Castro,BR,-24.7911,-50.0119,66.09,95,0,4.34,clear sky
68,Bethel,US,41.3712,-73.414,33.01,74,1,1.36,clear sky
69,Kahului,US,20.8947,-156.47,71.6,60,90,13.8,overcast clouds
70,Linao,PH,7.1678,124.9675,83.21,66,25,1.5,scattered clouds
71,Namatanai,PG,-3.6667,152.4333,85.6,67,82,4.14,light rain
72,Pangnirtung,CA,66.1451,-65.7125,10.36,91,100,2.75,light snow
73,Codrington,AU,-38.2667,141.9667,59.49,69,98,12.95,moderate rain
74,Mariental,NA,-24.6333,17.9667,78.04,45,0,5.5,clear sky
75,Harper,LR,4.375,-7.7169,78.6,90,99,7.78,overcast clouds
76,Namibe,AO,-15.1961,12.1522,71.06,71,0,6.02,clear sky
77,Puerto Ayora,EC,-0.7393,-90.3518,78.01,92,23,3.0,few clouds
78,Khani,GE,41.9563,42.9566,44.6,81,90,2.3,overcast clouds
79,San Patricio,US,28.017,-97.5169,73.4,68,40,12.66,scattered clouds
