City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-01-31 19:42:52,-34.5322,20.0403,66.0,93,100,20.0
1,Virginia Beach,US,2021-01-31 19:39:02,36.8529,-75.978,43.0,98,100,1.01
2,Kutum,SD,2021-01-31 19:42:52,14.2,24.6667,61.63,28,0,7.09
3,Bluff,NZ,2021-01-31 19:42:52,-46.6,168.3333,57.36,78,56,5.37
4,San Quintin,MX,2021-01-31 19:37:58,30.4833,-115.95,62.67,51,98,3.78
5,Albany,US,2021-01-31 19:39:46,42.6001,-73.9662,19.99,46,100,3.02
6,Vaini,TO,2021-01-31 19:42:52,-21.2,-175.2,77.0,100,90,14.97
7,Okhotsk,RU,2021-01-31 19:42:52,59.3833,143.3,-14.78,77,0,15.64
8,Segezha,RU,2021-01-31 19:42:53,63.7415,34.3222,9.28,96,94,2.55
9,Busselton,AU,2021-01-31 19:42:53,-33.65,115.3333,63.0,83,0,1.01
10,New Norfolk,AU,2021-01-31 19:42:53,-42.7826,147.0587,55.0,65,12,1.7
11,Bethel,US,2021-01-31 19:42:53,41.3712,-73.414,23.0,49,90,4.07
12,Guerrero Negro,MX,2021-01-31 19:42:53,27.9769,-114.0611,69.19,30,76,5.41
13,Trat,TH,2021-01-31 19:42:53,12.5,102.5,70.56,79,2,1.72
14,Rikitea,PF,2021-01-31 19:42:53,-23.1203,-134.9692,78.93,64,16,9.13
15,Mataura,NZ,2021-01-31 19:42:53,-46.1927,168.8643,60.17,64,81,2.21
16,Vardo,NO,2021-01-31 19:42:53,70.3705,31.1107,26.6,86,75,12.66
17,Grand-Santi,GF,2021-01-31 19:42:53,4.25,-54.3833,79.72,91,15,4.92
18,Hermanus,ZA,2021-01-31 19:42:53,-34.4187,19.2345,66.0,93,100,17.76
19,Atbasar,KZ,2021-01-31 19:42:53,51.8,68.3333,14.54,92,100,5.7
20,Georgetown,MY,2021-01-31 19:42:54,5.4112,100.3354,78.8,78,20,4.61
21,Nanortalik,GL,2021-01-31 19:42:54,60.1432,-45.2371,32.05,91,100,7.63
22,Deder,ET,2021-01-31 19:42:54,9.3167,41.45,53.2,56,0,4.32
23,Baranain,ES,2021-01-31 19:38:06,42.8057,-1.6773,51.01,100,20,1.14
24,Katsuura,JP,2021-01-31 19:42:54,35.1333,140.3,42.01,48,75,6.91
25,Port Alfred,ZA,2021-01-31 19:42:54,-33.5906,26.891,70.0,85,5,4.0
26,Kodiak,US,2021-01-31 19:42:54,57.79,-152.4072,26.6,54,1,9.51
27,Hobart,AU,2021-01-31 19:38:32,-42.8794,147.3294,55.99,88,0,8.05
28,Ushuaia,AR,2021-01-31 19:42:54,-54.8,-68.3,55.4,58,75,2.3
29,College,US,2021-01-31 19:42:54,64.8569,-147.8028,-5.8,77,90,0.11
30,Khatanga,RU,2021-01-31 19:42:54,71.9667,102.5,-42.45,80,36,6.76
31,Buraydah,SA,2021-01-31 19:42:54,26.326,43.975,60.8,51,0,3.44
32,Carnarvon,AU,2021-01-31 19:42:54,-24.8667,113.6333,86.0,48,74,16.11
33,Longyearbyen,SJ,2021-01-31 19:42:35,78.2186,15.6401,-4.0,45,0,18.41
34,Victoria,HK,2021-01-31 19:41:14,22.2855,114.1577,64.99,78,18,9.86
35,Cedar City,US,2021-01-31 19:42:55,37.6775,-113.0619,37.4,48,1,3.44
36,Hambantota,LK,2021-01-31 19:42:55,6.1241,81.1185,75.2,100,75,5.75
37,Vysokogornyy,RU,2021-01-31 19:42:55,50.1167,139.15,-25.01,84,70,2.73
38,Wyndham,US,2021-01-31 19:42:55,37.6985,-77.6125,34.0,86,90,5.75
39,Airai,TL,2021-01-31 19:42:55,-8.9266,125.4092,61.03,100,100,3.74
40,Labuhan,ID,2021-01-31 19:42:55,-6.8844,112.2051,77.77,82,100,14.27
41,Saint-Pierre,RE,2021-01-31 19:42:55,-21.3393,55.4781,82.4,65,0,18.41
42,Butaritari,KI,2021-01-31 19:42:55,3.0707,172.7902,80.62,83,36,13.13
43,Hilo,US,2021-01-31 19:42:55,19.7297,-155.09,72.0,78,90,8.05
44,Dikson,RU,2021-01-31 19:42:55,73.5069,80.5464,-27.29,78,66,8.72
45,Kontagora,NG,2021-01-31 19:42:55,10.3999,5.4695,81.18,16,100,4.99
46,Gilleleje,DK,2021-01-31 19:42:55,56.122,12.3106,34.0,90,0,10.45
47,Thompson,CA,2021-01-31 19:42:56,55.7435,-97.8558,15.8,86,90,4.61
48,Avarua,CK,2021-01-31 19:42:56,-21.2078,-159.775,80.6,83,75,5.75
49,Hasaki,JP,2021-01-31 19:39:24,35.7333,140.8333,35.6,55,75,6.91
50,Funadhoo,MV,2021-01-31 19:42:56,6.15,73.2667,81.84,72,70,6.82
51,Nishihara,JP,2021-01-31 19:42:56,26.1842,127.7558,60.8,72,40,5.75
52,Nikolskoye,RU,2021-01-31 19:42:56,59.7035,30.7861,24.8,86,90,8.95
53,Yellowknife,CA,2021-01-31 19:42:56,62.456,-114.3525,-5.01,84,75,5.75
54,Comodoro Rivadavia,AR,2021-01-31 19:42:56,-45.8667,-67.5,75.2,43,40,23.02
55,Clyde River,CA,2021-01-31 19:42:56,70.4692,-68.5914,-5.8,71,75,10.36
56,Punta Arenas,CL,2021-01-31 19:39:04,-53.15,-70.9167,57.2,54,0,28.77
57,Alice Springs,AU,2021-01-31 19:42:21,-23.7,133.8833,84.0,39,53,11.39
58,Chumikan,RU,2021-01-31 19:42:56,54.7183,135.315,-22.05,76,0,23.85
59,Bakchar,RU,2021-01-31 19:42:56,57.0186,82.0711,-12.26,88,100,4.0
60,Kharp,RU,2021-01-31 19:42:56,66.8014,65.8081,-20.79,85,74,2.64
61,Kang,BW,2021-01-31 19:42:57,-23.6752,22.7876,71.73,77,100,4.61
62,East London,ZA,2021-01-31 19:42:57,-33.0153,27.9116,75.25,85,26,15.97
63,San Patricio,US,2021-01-31 19:42:57,28.017,-97.5169,80.6,19,1,13.8
64,Ostrovnoy,RU,2021-01-31 19:38:17,68.0531,39.5131,13.37,94,86,6.4
65,Sorong,ID,2021-01-31 19:42:57,-0.8833,131.25,80.02,82,100,7.56
66,Stornoway,GB,2021-01-31 19:42:57,58.2093,-6.3865,35.6,75,20,6.91
67,Beruwala,LK,2021-01-31 19:42:57,6.4788,79.9828,74.75,89,41,3.47
68,Beringovskiy,RU,2021-01-31 19:42:57,63.05,179.3167,11.12,96,100,26.82
69,Leticia,CO,2021-01-31 19:42:57,-4.2153,-69.9406,82.4,89,75,8.05
70,Salalah,OM,2021-01-31 19:42:57,17.0151,54.0924,71.6,64,0,3.44
71,Hithadhoo,MV,2021-01-31 19:42:57,-0.6,73.0833,82.6,76,100,13.04
72,Anadyr,RU,2021-01-31 19:42:57,64.75,177.4833,5.0,85,90,22.37
73,Miles City,US,2021-01-31 19:42:57,46.4083,-105.8406,35.6,64,1,6.91
74,Kaitangata,NZ,2021-01-31 19:42:57,-46.2817,169.8464,55.63,83,100,1.79
75,Cape Town,ZA,2021-01-31 19:40:00,-33.9258,18.4232,70.0,88,75,9.22
76,Severo-Kurilsk,RU,2021-01-31 19:42:58,50.6789,156.125,21.81,93,88,42.23
